,Dates,Carry NG1 Comdty - NG2 Comdty,SMA_crossover,CombinedSignal
455,2007-07-26,-0.9999999999999999,-1,-1.0
456,2007-07-27,-0.9999999999999999,-1,-1.0
457,2007-07-30,-0.9999999999999999,-1,-1.0
458,2007-07-31,0.0,-1,-0.5
459,2007-08-01,0.0,-1,-0.5
460,2007-08-02,1.0,-1,0.0
461,2007-08-03,1.0,-1,0.0
462,2007-08-06,-0.9999999999999999,-1,-1.0
463,2007-08-07,-0.9999999999999999,-1,-1.0
464,2007-08-08,-0.9999999999999999,-1,-1.0
465,2007-08-09,-0.9999999999999999,-1,-1.0
466,2007-08-10,-0.9999999999999999,-1,-1.0
467,2007-08-13,0.0,-1,-0.5
468,2007-08-14,0.0,-1,-0.5
469,2007-08-15,1.0,-1,-0.0
470,2007-08-16,1.0,-1,-0.0
471,2007-08-17,0.0,-1,-0.5
472,2007-08-20,1.0,-1,-0.0
473,2007-08-21,1.0,-1,-0.0
474,2007-08-22,1.0,-1,-0.0
475,2007-08-23,0.0,-1,-0.5
476,2007-08-24,0.0,-1,-0.5
477,2007-08-27,1.0,-1,-0.0
478,2007-08-28,-0.9999999999999999,-1,-1.0
479,2007-08-29,0.0,-1,-0.5
480,2007-08-30,0.0,-1,-0.5
481,2007-08-31,0.0,-1,-0.5
482,2007-09-03,-0.9999999999999999,-1,-1.0
483,2007-09-04,-0.9999999999999999,-1,-1.0
484,2007-09-05,-0.9999999999999999,-1,-1.0
485,2007-09-06,-0.9999999999999999,-1,-1.0
486,2007-09-07,-0.9999999999999999,-1,-1.0
487,2007-09-10,-0.9999999999999999,-1,-1.0
488,2007-09-11,-0.9999999999999999,-1,-1.0
489,2007-09-12,-0.9999999999999999,-1,-1.0
490,2007-09-13,0.0,-1,-0.5
491,2007-09-14,0.0,-1,-0.5
492,2007-09-17,-0.9999999999999999,-1,-1.0
493,2007-09-18,0.0,-1,-0.5
494,2007-09-19,1.0,-1,-0.0
495,2007-09-20,-0.9999999999999999,-1,-1.0
496,2007-09-21,0.0,-1,-0.5
497,2007-09-24,1.0,-1,-0.0
498,2007-09-25,1.0,-1,-0.0
499,2007-09-26,1.0,-1,-0.0
500,2007-09-27,0.0,-1,-0.5
501,2007-09-28,-0.9999999999999999,-1,-1.0
502,2007-10-01,0.0,-1,-0.5
503,2007-10-02,-0.9999999999999999,-1,-1.0
504,2007-10-03,1.0,-1,-0.0
505,2007-10-04,0.0,-1,-0.5
506,2007-10-05,-0.9999999999999999,-1,-1.0
507,2007-10-08,1.0,-1,-0.0
508,2007-10-09,1.0,-1,-0.0
509,2007-10-10,0.0,-1,-0.5
510,2007-10-11,-0.9999999999999999,-1,-1.0
511,2007-10-12,1.0,-1,-0.0
512,2007-10-15,-0.9999999999999999,-1,-1.0
513,2007-10-16,0.0,-1,-0.5
514,2007-10-17,-0.9999999999999999,-1,-1.0
515,2007-10-18,-0.9999999999999999,-1,-1.0
516,2007-10-19,1.0,-1,-0.0
517,2007-10-22,1.0,-1,-0.0
518,2007-10-23,0.0,-1,-0.5
519,2007-10-24,-0.9999999999999999,-1,-1.0
520,2007-10-25,-0.9999999999999999,-1,-1.0
521,2007-10-26,0.0,-1,-0.5
522,2007-10-29,-0.9999999999999999,-1,-1.0
523,2007-10-30,-0.9999999999999999,-1,-1.0
524,2007-10-31,-0.9999999999999999,-1,-1.0
525,2007-11-01,-0.9999999999999999,-1,-1.0
526,2007-11-02,0.0,-1,-0.5
527,2007-11-05,1.0,-1,-0.0
528,2007-11-06,1.0,-1,-0.0
529,2007-11-07,1.0,-1,-0.0
530,2007-11-08,0.0,-1,-0.5
531,2007-11-09,-0.9999999999999999,-1,-1.0
532,2007-11-12,0.0,-1,-0.5
533,2007-11-13,1.0,-1,-0.0
534,2007-11-14,1.0,-1,-0.0
535,2007-11-15,1.0,-1,-0.0
536,2007-11-16,-0.9999999999999999,-1,-1.0
537,2007-11-19,1.0,-1,-0.0
538,2007-11-20,1.0,-1,-0.0
539,2007-11-21,0.0,-1,-0.5
540,2007-11-22,-0.9999999999999999,-1,-1.0
541,2007-11-23,-0.9999999999999999,-1,-1.0
542,2007-11-26,-0.9999999999999999,-1,-1.0
543,2007-11-27,1.0,-1,-0.0
544,2007-11-28,1.0,-1,-0.0
545,2007-11-29,0.0,-1,-0.5
546,2007-11-30,1.0,-1,-0.0
547,2007-12-03,0.0,-1,-0.5
548,2007-12-04,-0.9999999999999999,-1,-1.0
549,2007-12-05,-0.9999999999999999,-1,-1.0
550,2007-12-06,-0.9999999999999999,-1,-1.0
551,2007-12-07,0.0,-1,-0.5
552,2007-12-10,1.0,-1,-0.0
553,2007-12-11,-0.9999999999999999,-1,-1.0
554,2007-12-12,-0.9999999999999999,-1,-1.0
555,2007-12-13,0.0,-1,-0.5
556,2007-12-14,1.0,-1,-0.0
557,2007-12-17,0.0,-1,-0.5
558,2007-12-18,-0.9999999999999999,-1,-1.0
559,2007-12-19,-0.9999999999999999,-1,-1.0
560,2007-12-20,1.0,-1,-0.0
561,2007-12-21,-0.9999999999999999,-1,-1.0
562,2007-12-24,0.0,-1,-0.5
563,2007-12-25,0.0,-1,-0.5
564,2007-12-26,-0.9999999999999999,-1,-1.0
565,2007-12-27,1.0,-1,-0.0
566,2007-12-28,-0.9999999999999999,-1,-1.0
567,2007-12-31,-0.9999999999999999,-1,-1.0
568,2008-01-01,0.0,-1,-0.5
569,2008-01-02,-0.9999999999999999,-1,-1.0
570,2008-01-03,0.0,-1,-0.5
571,2008-01-04,0.0,-1,-0.5
572,2008-01-07,-0.9999999999999999,-1,-1.0
573,2008-01-08,-0.9999999999999999,-1,-1.0
574,2008-01-09,-0.9999999999999999,-1,-1.0
575,2008-01-10,-0.9999999999999999,-1,-1.0
576,2008-01-11,0.0,-1,-0.5
577,2008-01-14,1.0,-1,-0.0
578,2008-01-15,1.0,-1,-0.0
579,2008-01-16,1.0,-1,-0.0
580,2008-01-17,1.0,-1,-0.0
581,2008-01-18,1.0,-1,-0.0
582,2008-01-21,1.0,-1,-0.0
583,2008-01-22,1.0,-1,-0.0
584,2008-01-23,1.0,-1,-0.0
585,2008-01-24,-0.9999999999999999,-1,-1.0
586,2008-01-25,-0.9999999999999999,-1,-1.0
587,2008-01-28,-0.9999999999999999,-1,-1.0
588,2008-01-29,1.0,-1,-0.0
589,2008-01-30,-0.9999999999999999,-1,-1.0
590,2008-01-31,-0.9999999999999999,-1,-1.0
591,2008-02-01,1.0,-1,-0.0
592,2008-02-04,0.0,-1,-0.5
593,2008-02-05,-0.9999999999999999,-1,-1.0
594,2008-02-06,-0.9999999999999999,-1,-1.0
595,2008-02-07,-0.9999999999999999,-1,-1.0
596,2008-02-08,-0.9999999999999999,-1,-1.0
597,2008-02-11,-0.9999999999999999,-1,-1.0
598,2008-02-12,0.0,-1,-0.5
599,2008-02-13,1.0,-1,-0.0
600,2008-02-14,-0.9999999999999999,-1,-1.0
601,2008-02-15,0.0,-1,-0.5
602,2008-02-18,1.0,-1,-0.0
603,2008-02-19,-0.9999999999999999,-1,-1.0
604,2008-02-20,0.0,-1,-0.5
605,2008-02-21,1.0,-1,-0.0
606,2008-02-22,-0.9999999999999999,-1,-1.0
607,2008-02-25,0.0,-1,-0.5
608,2008-02-26,1.0,-1,-0.0
609,2008-02-27,1.0,-1,-0.0
610,2008-02-28,-0.9999999999999999,-1,-1.0
611,2008-02-29,0.0,-1,-0.5
612,2008-03-03,1.0,-1,-0.0
613,2008-03-04,1.0,1,1.0
614,2008-03-05,-0.9999999999999999,1,0.0
615,2008-03-06,0.0,1,0.5
616,2008-03-07,1.0,1,1.0
617,2008-03-10,-0.9999999999999999,1,-0.0
618,2008-03-11,0.0,1,0.5
619,2008-03-12,1.0,1,1.0
620,2008-03-13,-0.9999999999999999,1,-0.0
621,2008-03-14,1.0,1,1.0
622,2008-03-17,1.0,1,1.0
623,2008-03-18,0.0,1,0.5
624,2008-03-19,1.0,1,1.0
625,2008-03-20,1.0,1,1.0
626,2008-03-21,1.0,1,1.0
627,2008-03-24,-0.9999999999999999,1,-0.0
628,2008-03-25,-0.9999999999999999,1,-0.0
629,2008-03-26,-0.9999999999999999,1,-0.0
630,2008-03-27,0.0,1,0.5
631,2008-03-28,-0.9999999999999999,1,-0.0
632,2008-03-31,-0.9999999999999999,1,-0.0
633,2008-04-01,1.0,1,1.0
634,2008-04-02,0.0,1,0.5
635,2008-04-03,1.0,1,1.0
636,2008-04-04,1.0,1,1.0
637,2008-04-07,-0.9999999999999999,1,-0.0
638,2008-04-08,0.0,1,0.5
639,2008-04-09,-0.9999999999999999,1,-0.0
640,2008-04-10,-0.9999999999999999,1,-0.0
